0: Training Acc.: 18.0208 , Test Acc.: 24.1071
1: Training Acc.: 33.5417 , Test Acc.: 33.0357
2: Training Acc.: 43.3333 , Test Acc.: 37.5
0: Training Acc.: 19.2708 , Test Acc.: 19.6429
1: Training Acc.: 34.4792 , Test Acc.: 32.1429
2: Training Acc.: 42.7083 , Test Acc.: 34.8214
3: Training Acc.: 48.0208 , Test Acc.: 40.1786
4: Training Acc.: 51.6667 , Test Acc.: 43.75
5: Training Acc.: 57.5 , Test Acc.: 50.8929
6: Training Acc.: 59.6875 , Test Acc.: 52.6786
7: Training Acc.: 63.0208 , Test Acc.: 56.25
8: Training Acc.: 64.7917 , Test Acc.: 57.1429
9: Training Acc.: 65.9375 , Test Acc.: 59.8214
10: Training Acc.: 68.5417 , Test Acc.: 59.8214
11: Training Acc.: 68.9583 , Test Acc.: 58.0357
12: Training Acc.: 71.9792 , Test Acc.: 59.8214
13: Training Acc.: 72.6042 , Test Acc.: 61.6071
14: Training Acc.: 74.0625 , Test Acc.: 62.5
15: Training Acc.: 74.8958 , Test Acc.: 62.5
16: Training Acc.: 75.9375 , Test Acc.: 62.5
17: Training Acc.: 76.9792 , Test Acc.: 63.3929
18: Training Acc.: 77.1875 , Test Acc.: 64.2857
19: Training Acc.: 78.8542 , Test Acc.: 64.2857
20: Training Acc.: 79.0625 , Test Acc.: 64.2857
21: Training Acc.: 80.5208 , Test Acc.: 65.1786
22: Training Acc.: 80.5208 , Test Acc.: 66.0714
23: Training Acc.: 80.1042 , Test Acc.: 65.1786
24: Training Acc.: 80.9375 , Test Acc.: 65.1786
25: Training Acc.: 81.9792 , Test Acc.: 66.0714
26: Training Acc.: 82.3958 , Test Acc.: 66.9643
27: Training Acc.: 81.875 , Test Acc.: 66.0714
28: Training Acc.: 83.0208 , Test Acc.: 66.0714
29: Training Acc.: 82.8125 , Test Acc.: 67.8571
30: Training Acc.: 82.8125 , Test Acc.: 67.8571
31: Training Acc.: 83.2292 , Test Acc.: 68.75
32: Training Acc.: 83.6458 , Test Acc.: 66.9643
33: Training Acc.: 84.0625 , Test Acc.: 69.6429
34: Training Acc.: 83.6458 , Test Acc.: 71.4286
35: Training Acc.: 83.75 , Test Acc.: 71.4286
36: Training Acc.: 84.6875 , Test Acc.: 69.6429
37: Training Acc.: 84.6875 , Test Acc.: 72.3214
38: Training Acc.: 84.7917 , Test Acc.: 72.3214
39: Training Acc.: 84.4792 , Test Acc.: 73.2143
40: Training Acc.: 85.2083 , Test Acc.: 72.3214
41: Training Acc.: 85.9375 , Test Acc.: 74.1071
42: Training Acc.: 85.8333 , Test Acc.: 73.2143
43: Training Acc.: 86.4583 , Test Acc.: 71.4286
44: Training Acc.: 85.7292 , Test Acc.: 73.2143
45: Training Acc.: 86.1458 , Test Acc.: 74.1071
46: Training Acc.: 86.1458 , Test Acc.: 74.1071
47: Training Acc.: 86.0417 , Test Acc.: 75.0
48: Training Acc.: 86.3542 , Test Acc.: 75.8929
49: Training Acc.: 86.4583 , Test Acc.: 75.0
50: Training Acc.: 86.0417 , Test Acc.: 75.0
51: Training Acc.: 86.25 , Test Acc.: 75.0
52: Training Acc.: 87.2917 , Test Acc.: 75.0
53: Training Acc.: 86.3542 , Test Acc.: 75.8929
54: Training Acc.: 87.0833 , Test Acc.: 75.8929
55: Training Acc.: 86.5625 , Test Acc.: 75.8929
56: Training Acc.: 86.7708 , Test Acc.: 75.0
0: Training Acc.: 18.6458 , Test Acc.: 20.5357
1: Training Acc.: 33.5417 , Test Acc.: 36.6071
2: Training Acc.: 42.5 , Test Acc.: 41.9643
3: Training Acc.: 48.125 , Test Acc.: 45.5357
4: Training Acc.: 52.6042 , Test Acc.: 51.7857
5: Training Acc.: 57.5 , Test Acc.: 56.25
6: Training Acc.: 59.8958 , Test Acc.: 58.0357
